                    *********************************************************************************
                    *  Z= 81 A=204: Positive-Parity Spin-dependent Level Density [MeV-1] for TL204  *
  16.00  0.929  1.22E+11 9.55E+10 2.08E+12 6.31E+08 1.87E+09 3.03E+09 4.08E+09 4.97E+09 5.69E+09 6.21E+09 6.53E+09 6.66E+09 6.61E+09 6.40E+09 6.06E+09 5.61E+09 5.10E+09 4.54E+09 3.97E+09 3.41E+09 2.88E+09 2.39E+09 1.95E+09 1.57E+09 1.25E+09 9.83E+08 7.65E+08 5.95E+08 4.56E+08 3.46E+08 2.62E+08 1.99E+08 4.97E+08 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  17.00  0.957  2.70E+11 2.00E+11 4.44E+12 1.29E+09 3.81E+09 6.18E+09 8.32E+09 1.02E+10 1.16E+10 1.27E+10 1.34E+10 1.37E+10 1.36E+10 1.32E+10 1.25E+10 1.16E+10 1.06E+10 9.47E+09 8.31E+09 7.17E+09 6.08E+09 5.08E+09 4.19E+09 3.41E+09 2.74E+09 2.19E+09 1.74E+09 1.39E+09 1.11E+09 8.75E+08 6.97E+08 5.64E+08 1.80E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  18.00  0.985  5.79E+11 4.19E+11 9.55E+12 2.62E+09 7.75E+09 1.26E+10 1.70E+10 2.07E+10 2.38E+10 2.60E+10 2.75E+10 2.81E+10 2.80E+10 2.72E+10 2.59E+10 2.41E+10 2.20E+10 1.98E+10 1.74E+10 1.51E+10 1.29E+10 1.08E+10 8.97E+09 7.37E+09 6.00E+09 4.87E+09 3.95E+09 3.26E+09 2.68E+09 2.21E+09 1.86E+09 1.60E+09 6.55E+09 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  19.00  1.012  1.23E+12 8.84E+11 2.08E+13 5.33E+09 1.58E+10 2.57E+10 3.46E+10 4.23E+10 4.86E+10 5.33E+10 5.64E+10 5.78E+10 5.77E+10 5.62E+10 5.36E+10 5.00E+10 4.58E+10 4.12E+10 3.64E+10 3.17E+10 2.72E+10 2.30E+10 1.92E+10 1.59E+10 1.31E+10 1.08E+10 8.96E+09 7.63E+09 6.50E+09 5.59E+09 4.95E+09 4.53E+09 2.38E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  20.00  1.038  2.61E+12 1.88E+12 4.65E+13 1.08E+10 3.21E+10 5.23E+10 7.06E+10 8.65E+10 9.95E+10 1.09E+11 1.16E+11 1.19E+11 1.19E+11 1.16E+11 1.11E+11 1.04E+11 9.52E+10 8.59E+10 7.62E+10 6.66E+10 5.74E+10 4.88E+10 4.12E+10 3.45E+10 2.88E+10 2.41E+10 2.04E+10 1.78E+10 1.57E+10 1.41E+10 1.32E+10 1.29E+10 8.64E+10 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  22.50  1.101  2.20E+13 1.36E+13 4.07E+14 6.42E+10 1.90E+11 3.10E+11 4.20E+11 5.16E+11 5.95E+11 6.56E+11 6.97E+11 7.19E+11 7.23E+11 7.09E+11 6.81E+11 6.42E+11 5.93E+11 5.40E+11 4.83E+11 4.27E+11 3.72E+11 3.22E+11 2.77E+11 2.37E+11 2.04E+11 1.78E+11 1.58E+11 1.50E+11 1.44E+11 1.44E+11 1.53E+11 1.74E+11 2.17E+12 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  25.00  1.161  2.01E+14 1.29E+14 5.18E+15 3.79E+11 1.13E+12 1.84E+12 2.49E+12 3.07E+12 3.56E+12 3.94E+12 4.20E+12 4.36E+12 4.40E+12 4.34E+12 4.19E+12 3.97E+12 3.70E+12 3.39E+12 3.06E+12 2.73E+12 2.42E+12 2.12E+12 1.86E+12 1.63E+12 1.45E+12 1.31E+12 1.23E+12 1.25E+12 1.32E+12 1.46E+12 1.77E+12 2.35E+12 5.45E+13 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  30.00  1.272  9.57E+16 3.81E+16 2.15E+18 1.33E+13 3.95E+13 6.46E+13 8.81E+13 1.09E+14 1.27E+14 1.42E+14 1.53E+14 1.60E+14 1.63E+14 1.62E+14 1.58E+14 1.52E+14 1.44E+14 1.34E+14 1.23E+14 1.12E+14 1.02E+14 9.22E+13 8.39E+13 7.73E+13 7.30E+13 7.16E+13 7.45E+13 8.81E+13 1.10E+14 1.51E+14 2.38E+14 4.30E+14 3.44E+16 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  40.00  1.469  2.80E+19 5.55E+18 1.81E+20 1.62E+16 4.85E+16 7.99E+16 1.10E+17 1.38E+17 1.63E+17 1.84E+17 2.02E+17 2.15E+17 2.23E+17 2.27E+17 2.27E+17 2.23E+17 2.16E+17 2.08E+17 1.99E+17 1.89E+17 1.80E+17 1.74E+17 1.71E+17 1.73E+17 1.85E+17 2.13E+17 2.72E+17 4.35E+17 7.75E+17 4.50E+14 7.10E+14 1.29E+15 1.03E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  50.00  1.642  1.12E+20 1.12E+19 3.69E+20 3.25E+16 9.69E+16 1.60E+17 2.20E+17 2.75E+17 3.26E+17 3.69E+17 4.04E+17 4.29E+17 4.46E+17 4.54E+17 4.53E+17 4.45E+17 4.32E+17 4.16E+17 3.97E+17 3.78E+17 3.61E+17 3.48E+17 3.42E+17 3.47E+17 3.70E+17 4.26E+17 5.44E+17 8.70E+17 1.55E+18 1.34E+15 2.12E+15 3.85E+15 3.09E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  60.00  1.799  2.81E+20 2.27E+19 7.56E+20 6.49E+16 1.94E+17 3.19E+17 4.39E+17 5.51E+17 6.51E+17 7.37E+17 8.07E+17 8.58E+17 8.92E+17 9.07E+17 9.06E+17 8.91E+17 8.65E+17 8.31E+17 7.94E+17 7.56E+17 7.21E+17 6.95E+17 6.83E+17 6.94E+17 7.40E+17 8.51E+17 1.09E+18 1.74E+18 3.10E+18 3.99E+15 6.33E+15 1.15E+16 9.26E+17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  70.00  1.943  6.27E+20 4.64E+19 1.57E+21 1.30E+17 3.87E+17 6.38E+17 8.78E+17 1.10E+18 1.30E+18 1.47E+18 1.61E+18 1.72E+18 1.78E+18 1.81E+18 1.81E+18 1.78E+18 1.73E+18 1.66E+18 1.59E+18 1.51E+18 1.44E+18 1.39E+18 1.37E+18 1.39E+18 1.48E+18 1.70E+18 2.18E+18 3.48E+18 6.20E+18 1.19E+16 1.89E+16 3.44E+16 2.78E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  80.00  2.077  1.34E+21 9.56E+19 3.30E+21 2.60E+17 7.74E+17 1.28E+18 1.76E+18 2.20E+18 2.60E+18 2.95E+18 3.22E+18 3.43E+18 3.56E+18 3.62E+18 3.62E+18 3.56E+18 3.46E+18 3.32E+18 3.17E+18 3.02E+18 2.88E+18 2.78E+18 2.73E+18 2.77E+18 2.96E+18 3.40E+18 4.35E+18 6.96E+18 1.24E+19 3.55E+16 5.64E+16 1.03E+17 8.32E+18 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
  90.00  2.203  2.81E+21 2.00E+20 7.10E+21 5.19E+17 1.55E+18 2.55E+18 3.51E+18 4.40E+18 5.20E+18 5.89E+18 6.45E+18 6.86E+18 7.12E+18 7.25E+18 7.24E+18 7.12E+18 6.91E+18 6.64E+18 6.34E+18 6.04E+18 5.77E+18 5.56E+18 5.46E+18 5.54E+18 5.92E+18 6.81E+18 8.71E+18 1.39E+19 2.48E+19 1.06E+17 1.68E+17 3.07E+17 2.49E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 100.00  2.322  5.93E+21 4.24E+20 1.57E+22 1.04E+18 3.09E+18 5.10E+18 7.02E+18 8.80E+18 1.04E+19 1.18E+19 1.29E+19 1.37E+19 1.42E+19 1.45E+19 1.45E+19 1.42E+19 1.38E+19 1.33E+19 1.27E+19 1.21E+19 1.15E+19 1.11E+19 1.09E+19 1.11E+19 1.18E+19 1.36E+19 1.74E+19 2.78E+19 4.96E+19 3.15E+17 5.02E+17 9.18E+17 7.47E+19 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 110.00  2.435  1.27E+22 9.25E+20 3.59E+22 2.07E+18 6.19E+18 1.02E+19 1.40E+19 1.76E+19 2.08E+19 2.35E+19 2.58E+19 2.74E+19 2.85E+19 2.90E+19 2.89E+19 2.85E+19 2.76E+19 2.66E+19 2.54E+19 2.41E+19 2.31E+19 2.22E+19 2.18E+19 2.22E+19 2.37E+19 2.72E+19 3.48E+19 5.56E+19 9.91E+19 9.40E+17 1.50E+18 2.74E+18 2.24E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 120.00  2.544  2.77E+22 2.08E+21 8.52E+22 4.15E+18 1.24E+19 2.04E+19 2.80E+19 3.52E+19 4.16E+19 4.71E+19 5.15E+19 5.48E+19 5.69E+19 5.79E+19 5.78E+19 5.69E+19 5.52E+19 5.31E+19 5.07E+19 4.83E+19 4.61E+19 4.44E+19 4.37E+19 4.43E+19 4.73E+19 5.44E+19 6.96E+19 1.11E+20 1.98E+20 2.80E+18 4.48E+18 8.20E+18 6.71E+20 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 130.00  2.648  6.23E+22 4.84E+21 2.11E+23 8.29E+18 2.47E+19 4.08E+19 5.61E+19 7.03E+19 8.31E+19 9.41E+19 1.03E+20 1.10E+20 1.14E+20 1.16E+20 1.16E+20 1.14E+20 1.10E+20 1.06E+20 1.01E+20 9.65E+19 9.22E+19 8.88E+19 8.73E+19 8.86E+19 9.46E+19 1.09E+20 1.39E+20 2.23E+20 3.96E+20 8.35E+18 1.34E+19 2.45E+19 2.01E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 140.00  2.748  1.45E+23 1.17E+22 5.42E+23 1.66E+19 4.94E+19 8.15E+19 1.12E+20 1.41E+20 1.66E+20 1.88E+20 2.06E+20 2.19E+20 2.28E+20 2.31E+20 2.31E+20 2.27E+20 2.21E+20 2.12E+20 2.03E+20 1.93E+20 1.84E+20 1.78E+20 1.75E+20 1.77E+20 1.89E+20 2.18E+20 2.78E+20 4.45E+20 7.93E+20 2.49E+19 3.99E+19 7.32E+19 6.03E+21 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 150.00  2.844  3.52E+23 2.96E+22 1.45E+24 3.31E+19 9.88E+19 1.63E+20 2.24E+20 2.81E+20 3.32E+20 3.76E+20 4.12E+20 4.38E+20 4.55E+20 4.63E+20 4.62E+20 4.55E+20 4.41E+20 4.24E+20 4.05E+20 3.86E+20 3.68E+20 3.55E+20 3.49E+20 3.54E+20 3.78E+20 4.35E+20 5.57E+20 8.90E+20 1.59E+21 7.42E+19 1.19E+20 2.19E+20 1.81E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 160.00  2.937  8.88E+23 7.76E+22 3.98E+24 6.62E+19 1.98E+20 3.26E+20 4.48E+20 5.62E+20 6.64E+20 7.52E+20 8.23E+20 8.76E+20 9.10E+20 9.25E+20 9.24E+20 9.09E+20 8.83E+20 8.48E+20 8.10E+20 7.72E+20 7.37E+20 7.10E+20 6.98E+20 7.09E+20 7.57E+20 8.70E+20 1.11E+21 1.78E+21 3.17E+21 2.21E+20 3.55E+20 6.54E+20 5.41E+22 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 170.00  3.028  2.33E+24 2.10E+23 1.12E+25 1.32E+20 3.95E+20 6.51E+20 8.95E+20 1.12E+21 1.33E+21 1.50E+21 1.65E+21 1.75E+21 1.82E+21 1.85E+21 1.85E+21 1.82E+21 1.76E+21 1.70E+21 1.62E+21 1.54E+21 1.47E+21 1.42E+21 1.40E+21 1.42E+21 1.51E+21 1.74E+21 2.23E+21 3.56E+21 6.34E+21 6.59E+20 1.06E+21 1.96E+21 1.62E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 180.00  3.115  6.31E+24 5.86E+23 3.22E+25 2.65E+20 7.90E+20 1.30E+21 1.79E+21 2.24E+21 2.65E+21 3.00E+21 3.29E+21 3.50E+21 3.64E+21 3.70E+21 3.69E+21 3.63E+21 3.53E+21 3.39E+21 3.24E+21 3.08E+21 2.94E+21 2.84E+21 2.79E+21 2.83E+21 3.03E+21 3.48E+21 4.45E+21 7.12E+21 1.27E+22 1.96E+21 3.17E+21 5.85E+21 4.86E+23 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 190.00  3.201  1.76E+25 1.67E+24 9.35E+25 5.29E+20 1.58E+21 2.60E+21 3.58E+21 4.49E+21 5.30E+21 6.01E+21 6.58E+21 7.00E+21 7.27E+21 7.39E+21 7.39E+21 7.26E+21 7.05E+21 6.78E+21 6.48E+21 6.17E+21 5.89E+21 5.68E+21 5.58E+21 5.67E+21 6.05E+21 6.96E+21 8.90E+21 1.42E+22 2.54E+22 5.86E+21 9.45E+21 1.75E+22 1.46E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 200.00  3.284  5.00E+25 4.82E+24 2.74E+26 1.06E+21 3.16E+21 5.20E+21 7.16E+21 8.97E+21 1.06E+22 1.20E+22 1.31E+22 1.40E+22 1.45E+22 1.48E+22 1.48E+22 1.45E+22 1.41E+22 1.36E+22 1.29E+22 1.23E+22 1.18E+22 1.13E+22 1.12E+22 1.13E+22 1.21E+22 1.39E+22 1.78E+22 2.85E+22 5.07E+22 1.75E+22 2.82E+22 5.22E+22 4.37E+24 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 
                    *********************************************************************************
                    *  Z= 81 A=204: Negative-parity Spin-dependent Level Density [MeV-1] for TL204  *
                    *********************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29     J=30     J=31     J=32     J=33     J=34     J=35     J=36     J=37     J=38     J=39     J=40     J=41     J=42     J=43     J=44     J=45     J=46     J=47     J=48     J=49
   0.25  0.116  1.00E+00 5.00E+00 1.50E+01 1.67E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.50  0.164  3.00E+00 6.67E+00 5.33E+01 0.00E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   0.75  0.201  6.00E+00 2.33E+01 2.87E+02 0.00E+00 0.00E+00 0.00E+00 1.67E+00 3.33E+00 5.00E+00 6.67E+00 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.00  0.232  1.20E+01 2.00E+01 2.47E+02 0.00E+00 0.00E+00 0.00E+00 1.67E+00 3.33E+00 3.33E+00 5.00E+00 5.00E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.25  0.260  1.60E+01 1.00E+01 1.20E+02 0.00E+00 0.00E+00 0.00E+00 1.67E+00 1.67E+00 1.67E+00 1.67E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.50  0.284  1.80E+01 6.67E+00 9.33E+01 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.67E+00 1.67E+00 1.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   1.75  0.307  2.20E+01 2.67E+01 1.83E+02 6.67E+00 5.00E+00 3.33E+00 1.67E+00 1.67E+00 1.67E+00 1.67E+00 3.33E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.00  0.328  3.10E+01 4.67E+01 2.20E+02 1.33E+01 1.17E+01 8.33E+00 6.67E+00 1.67E+00 1.67E+00 0.00E+00 3.33E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.25  0.348  5.30E+01 1.30E+02 9.37E+02 2.00E+01 2.17E+01 1.67E+01 2.17E+01 1.50E+01 1.17E+01 8.33E+00 6.67E+00 6.67E+00 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
   2.50  0.367  1.01E+02 2.50E+02 2.19E+03 2.50E+01 3.17E+01 3.00E+01 3.50E+01 2.83E+01 2.83E+01 2.50E+01 1.83E+01 1.67E+01 1.00E+01 1.67E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
