# Z   N   A      M      Etot    Emac    Emic     b2      b3      b4      b5      b6      b7      b8
  92 147 239   50.23   -3.43    2.36   -5.79    0.23    0.00    0.08    0.00   -0.02    0.00   -0.03
  92 148 240   52.66   -2.97    2.09   -5.06    0.23    0.00    0.08    0.00   -0.02    0.00   -0.02
  93 140 233   37.53   -3.13    3.26   -6.39    0.21    0.04    0.11    0.01    0.02   -0.01   -0.03
  93 141 234   39.25   -3.75    3.07   -6.83    0.21    0.02    0.11    0.00    0.01   -0.01   -0.03
  93 142 235   40.70   -3.40    3.01   -6.41    0.21    0.03    0.11    0.00    0.01   -0.01   -0.03
  93 143 236   42.89   -3.83    3.02   -6.86    0.22    0.02    0.11    0.00    0.00   -0.01   -0.03
  93 144 237   44.48   -3.61    3.04   -6.65    0.22    0.04    0.10    0.01    0.00   -0.02   -0.03
  93 145 238   46.70   -4.28    3.32   -7.60    0.23    0.06    0.10    0.01   -0.01   -0.02   -0.04
  93 146 239   48.86   -3.74    3.38   -7.12    0.23    0.06    0.10    0.01   -0.01   -0.02   -0.04
  94 141 235   41.78   -3.28    2.64   -5.91    0.21    0.00    0.10    0.00    0.01    0.00   -0.02
  94 142 236   42.88   -2.93    2.54   -5.47    0.22    0.01    0.10    0.00    0.00    0.00   -0.02
  94 143 237   44.95   -3.40    2.58   -5.98    0.22    0.00    0.10    0.00    0.00    0.00   -0.02
  94 144 238   46.16   -3.21    2.41   -5.62    0.22    0.00    0.09    0.00   -0.01    0.00   -0.02
  94 145 239   48.30   -3.87    2.96   -6.83    0.23    0.06    0.09    0.00   -0.01   -0.02   -0.03
  94 146 240   50.06   -3.40    2.34   -5.74    0.23    0.00    0.09    0.00   -0.02    0.00   -0.03
  94 147 241   52.66   -3.87    2.21   -6.08    0.24    0.00    0.08    0.00   -0.02    0.00   -0.02
  94 148 242   54.65   -3.42    1.96   -5.38    0.23    0.00    0.07    0.00   -0.02    0.00   -0.02
  94 149 243   57.66   -3.72    1.63   -5.36    0.24    0.00    0.06    0.00   -0.03    0.00   -0.01
  94 150 244   59.80   -3.38    1.60   -4.98    0.24    0.00    0.05    0.00   -0.03    0.00   -0.01
  94 151 245   62.88   -3.87    1.57   -5.44    0.24    0.00    0.04    0.00   -0.04    0.00    0.00
  94 152 246   65.43   -3.36    1.54   -4.90    0.24    0.00    0.04    0.00   -0.04    0.00    0.00
  95 144 239   49.42   -3.71    2.16   -5.87    0.23    0.00    0.09    0.00   -0.01    0.00   -0.02
  95 145 240   51.17   -4.41    2.52   -6.94    0.23    0.05    0.08    0.00   -0.02   -0.01   -0.03
  95 146 241   52.81   -3.98    2.16   -6.14    0.24    0.00    0.08    0.00   -0.02    0.00   -0.02
  95 147 242   55.02   -4.49    2.10   -6.59    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02
  95 148 243   56.94   -4.05    1.91   -5.96    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02
  95 149 244   59.59   -4.37    1.64   -6.01    0.24    0.00    0.06    0.00   -0.03    0.00   -0.01
  95 150 245   61.66   -4.03    1.61   -5.64    0.24    0.00    0.05    0.00   -0.03    0.00   -0.01
  95 151 246   64.42   -4.49    1.58   -6.07    0.24    0.00    0.04    0.00   -0.04    0.00    0.00
  95 152 247   66.92   -3.96    1.55   -5.51    0.24    0.00    0.04    0.00   -0.04    0.00    0.00
  96 145 241   53.65   -4.03    2.26   -6.29    0.24   -0.03    0.08    0.00   -0.02    0.01   -0.03
  96 146 242   54.88   -3.67    2.02   -5.69    0.24    0.00    0.08    0.00   -0.02    0.00   -0.02
  96 147 243   56.99   -4.21    1.97   -6.18    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02
  96 148 244   58.51   -3.81    1.78   -5.59    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02
  96 149 245   61.01   -4.22    1.57   -5.78    0.24    0.00    0.05    0.00   -0.03    0.00   -0.01
  96 150 246   62.72   -3.89    1.54   -5.43    0.24    0.00    0.05    0.00   -0.03    0.00   -0.01
  96 151 247   65.29   -4.48    1.55   -6.02    0.24    0.00    0.04    0.00   -0.04    0.00    0.00
  96 152 248   67.44   -3.96    1.53   -5.49    0.24    0.00    0.03    0.00   -0.04    0.00    0.00
  96 153 249   70.94   -3.87    1.66   -5.53    0.24    0.00    0.02    0.00   -0.05    0.00    0.01
  96 154 250   73.04   -3.65    1.46   -5.11    0.24    0.00    0.03    0.00   -0.04    0.00    0.01
  97 147 244   60.36   -4.72    1.92   -6.64    0.24    0.00    0.07    0.00   -0.03    0.00   -0.02
  97 148 245   61.79   -4.35    1.71   -6.06    0.24    0.00    0.06    0.00   -0.03    0.00   -0.01
  97 149 246   63.88   -4.82    1.57   -6.40    0.24    0.00    0.05    0.00   -0.04    0.00    0.00
  97 150 247   65.51   -4.50    1.56   -6.07    0.24    0.00    0.05    0.00   -0.04    0.00    0.00
  97 151 248   67.66   -5.17    1.60   -6.77    0.25    0.00    0.03    0.00   -0.04    0.00    0.00
  97 152 249   69.77   -4.63    1.60   -6.23    0.25    0.00    0.03    0.00   -0.04    0.00    0.00
  97 153 250   72.92   -4.54    1.70   -6.24    0.25    0.00    0.02    0.00   -0.05    0.00    0.01
  98 152 250   71.28   -4.53    1.58   -6.11    0.25    0.00    0.03    0.00   -0.05    0.00    0.00
  98 153 251   74.34   -4.46    1.72   -6.18    0.25    0.00    0.02    0.00   -0.05    0.00    0.01
  98 154 252   76.07   -4.21    1.53   -5.74    0.25    0.00    0.02    0.00   -0.05    0.00    0.01
  98 155 253   79.41   -4.12    1.74   -5.86    0.25    0.00    0.01    0.00   -0.05    0.00    0.02
